Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
117;Waste heat recovery based power plant at Hindustan Zinc Limited, Chanderia;Industrial & Commercial;Waste Heat Recovery;Southern Asia;India;;131.252;2005
1174;Akcay 28.78 MW, Hydroelectric Power Plant Project (HEPP), Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;263.581;2009
1175;AVOIDING PLANNED DEFORESTATION AND DEGRADATION IN THE VALDIVIAN COASTAL RESERVE, CHILE;Forestry & Land Use;REDD+;Latin America and the Caribbean;Chile;;533.654;2004
118;Huangyutang Hydro Power Project in Guizhou Province;Renewable Energy;Hydropower;Eastern Asia;China;;66.421;2006
1181;CGN Inner Mongolia Zhurihe Phase II Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;447.340;2010
1182;CGN Inner Mongolia Zhurihe Phase I Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;359.887;2009
1183;Xinjiang Jimunai CGN Phase I Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;402.109;2011
1184;Hebei Chengde Weichang Wuxiangliang Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;243.216;2012
1187;Shandong Yishui Tangwangshan Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;307.201;2010
1188;Shandong Wendeng Zhangjiachan Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;802.659;2012
1189;Shandong Taipingshan Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;846.433;2010
119;Changtan Hydro Power Project in Guizhou Province;Renewable Energy;Hydropower;Eastern Asia;China;;21.813;2006
1190;Wind power project in Gujarat;Renewable Energy;Wind;Southern Asia;India;;418.263;2011
1192;Metro Line 1 Lima, Peru;Transportation;Mass Transit;Latin America and the Caribbean;Peru;;44.224;2015
1193;Murat Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;7.667;2020
1194;Kaladonger Wind Power Project in Rajasthan;Renewable Energy;Wind;Southern Asia;India;;1.035.019;2012
1195;Wind Power Project in Rajasthan;Renewable Energy;Wind;Southern Asia;India;;514.123;2011
1196;Gansu Yongdeng Longlin Hydro Power Project;Renewable Energy;Hydropower;Eastern Asia;China;;314.733;2011
1197;Chakala Wind Power Project in Maharashtra;Renewable Energy;Wind;Southern Asia;India;;586.701;2013
1198;Pembelik Hydro Electricity Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;1.069.278;2015
1199;Bugoye 13.0 MW Run-of-River Hydropower Project;Renewable Energy;Hydropower;Sub-Saharan Africa;Uganda;;332.522;2010
12;Chuanwei Group 24 MW Waste Gas based Captive Power Plant;Industrial & Commercial;Waste Gas Recovery;Eastern Asia;China;;1.162.620;2007
120;Aydin Salavatli Dora-1 Geothermal Power Plant;Renewable Energy;Geothermal;Western Asia;Türkiye;;277.758;2008
1200;Guohua Wulate Zhongqi Chuanjing Phase II Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;940.858;2009
1201;Gola REDD project;Forestry & Land Use;REDD+;Sub-Saharan Africa;Sierra Leone;;2.672.520;2012
1202;LOWER ZAMBEZI REDD+ PROJECT;Forestry & Land Use;REDD+;Sub-Saharan Africa;Zambia;;2.229.034;2009
1203;Suzlon 8.40 MW Wind Power Project;Renewable Energy;Wind;Southern Asia;India;;94.569;2011
1204;Guohua Wulate Zhongqi Phase I 49.5 MW Wind farm Project;Renewable Energy;Wind;Eastern Asia;China;;890.139;2009
1205;Tatar Hydro Electricity Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;1.222.788;2013
1206;Montanitas Hydroelectric Project;Renewable Energy;Hydropower;Latin America and the Caribbean;Colombia;;257.975;2012
1208;Nam Chim Hydro Power Project;Renewable Energy;Hydropower;South-Eastern Asia;Viet Nam;;54.061;2010
1209;Wind Power Project at Bhachau by Powerica Limited;Renewable Energy;Wind;Southern Asia;India;;135.245;2011
1210;Green Energy Project at Kutch by Powerica Limited;Renewable Energy;Wind;Southern Asia;India;;455.497;2013
1211;Green Energy Project at Gujarat by Powerica Limited;Renewable Energy;RE Bundled;Southern Asia;India;;584.281;2013
1215;The Makira Forest Protected Area in Madagascar;Forestry & Land Use;REDD+;Sub-Saharan Africa;Madagascar;;1.330.327;2009
1217;Electricity Generation through Wind Power by SRHHL;Renewable Energy;Wind;Southern Asia;India;;59.928;2009
1222;Kaiyang 15100 Rural Methane Digesters Project in Guizhou Province, China;Household & Community;Biodigesters;Eastern Asia;China;;0;
1225;Kenya Agricultural Carbon Project;Agriculture;Sustainable Agriculture;Sub-Saharan Africa;Kenya;;325.825;2012
1226;Anhui Zhongxing Shouchuang Energy-Saving Service Co. Ltd. Biomass Boiler Retrofitting Project;Renewable Energy;Biomass;Eastern Asia;China;;36.504;2012
1227;Lebu III Wind Farm Project;Renewable Energy;Wind;Latin America and the Caribbean;Chile;;0;
