Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
5825;GS1247 VPA 119 Zoba Debub Community Boreholes;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;42.002;2017
5826;GS1247 VPA 120 Zoba Debub Community Boreholes;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;39.564;2017
5827;GS1247 VPA 121 Zoba Debub Community Boreholes;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;39.579;2017
5830;Renewable Power Project by Emami Power Ltd;Renewable Energy;Solar - Centralized;Southern Asia;India;;196.285;2017
5831;Grid Connected Bundled Wind Power Project in Karnataka and Maharashtra;Renewable Energy;Wind;Southern Asia;India;;46.142;2018
5842;WWF Meigu Panda Habitat Conservation Clean Cookstove Project;Household & Community;Cookstoves;Eastern Asia;China;;20.000;2020
5844;"Improved Cookstoves Project Activity in Honduras ""Vida Mejor con Ecofogones de Alto Rendimiento"" – CPA No 001 Pre-CDM VER";Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;28.832;2014
5860;Baragran Hydro Electric Project 3.0 MW (being expanded to 4.9 MW);Renewable Energy;Hydropower;Southern Asia;India;;173.611;2016
5866;40 MW Orange Charanka Solar Power Project in Gujarat India;Renewable Energy;Solar - Centralized;Southern Asia;India;;447.299;2017
5889;GS5047 VPA5 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Burera II;Household & Community;Cookstoves;Sub-Saharan Africa;Rwanda;;15.607;2019
5890;GS5047 VPA6 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Nyabihu II;Household & Community;Cookstoves;Sub-Saharan Africa;Rwanda;;20.950;2019
5891;GS5047 VPA7 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Musanze;Household & Community;Cookstoves;Sub-Saharan Africa;Rwanda;;16.610;2019
5892;GS5047 VPA8 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Musanze II;Household & Community;Cookstoves;Sub-Saharan Africa;Rwanda;;25.353;2019
5923;Campion II Mini Hydro Power project;Renewable Energy;Hydropower;Southern Asia;Sri Lanka;;5.538;2017
5928;2x50 MW Orange Suvaan Solar Photovoltaic Power Project in Maharashtra India;Renewable Energy;Solar - Centralized;Southern Asia;India;;1.059.494;2017
5951;GS1247 VPA 122 Zoba Anseba Community Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;35.216;2017
5952;GS1247 VPA 123 Zoba Anseba Community Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;31.948;2017
5953;GS1247 VPA 124 Zoba Anseba Community Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;31.258;2017
5954;GS1247 VPA 125 Zoba Anseba Community Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;31.305;2017
5955;GS1247 VPA 126 Zoba Anseba Community Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;30.732;2017
5988;Mabwepande Composting Facility for Market Waste;Waste Management;Composting;Sub-Saharan Africa;Tanzania;;4.509;2021
6003;GHG abatement through Solar Power Generation at Jaisalmer Rajasthan India;Renewable Energy;Solar - Centralized;Southern Asia;India;;31.621;2016
6004;Wind Power Project in Tinwari Rajasthan;Renewable Energy;Wind;Southern Asia;India;;262.565;2016
6008;GS2489 – Efficient cookstoves in Benin and Togo – VPA2 – EcoBénin – Wanrou efficient cookstoves in Atacora/Donga region;Household & Community;Cookstoves;Sub-Saharan Africa;Benin;;36.084;2016
601;Kores Kocadag Wind Power Project Turkey;Renewable Energy;Wind;Western Asia;Türkiye;;530.802;2009
6037;GS1247 VPA 127 Southern Ethiopia Community Boreholes;Household & Community;Community Boreholes;Sub-Saharan Africa;Ethiopia;;29.828;2017
6038;GS1247 VPA 128 Southern Ethiopia Community Boreholes;Household & Community;Community Boreholes;Sub-Saharan Africa;Ethiopia;;29.985;2017
6041;GS1247 VPA 129 Zoba Anseba Community Safe Water;Household & Community;Clean Water;Sub-Saharan Africa;Eritrea;;19.663;2020
6042;GS1247 VPA 130 Zoba Anseba Community Safe Water;Household & Community;Clean Water;Sub-Saharan Africa;Eritrea;;17.413;2020
605;Antai Group Waste Gas Recovery for Power Generation Project (300303);Industrial & Commercial;Waste Gas Recovery;Eastern Asia;China;;1.568.125;2008
6050;Efficient Cookstoves in Bahia III;Household & Community;Cookstoves;Latin America and the Caribbean;Brazil;;15.012;2019
6051;Adavikanda Kuruwita Division Mini Hydro Power Project;Renewable Energy;Hydropower;Southern Asia;Sri Lanka;;14.802;2016
607;The 2nd 45MW Wind-farm project of Huadian Ningxia Ningdong Yangjiayao;Renewable Energy;Wind;Eastern Asia;China;;49.420;2010
608;GEYCEK Wind Farm Project;Renewable Energy;Wind;Western Asia;Türkiye;;952.458;2016
609;Highveld Air Quality - Phumula project;Household & Community;Cookstoves;Sub-Saharan Africa;South Africa;;8.436;2010
6101;VPA - Spouts - 1;Household & Community;Clean Water;Sub-Saharan Africa;Uganda;;25.432;2017
6108;Improved Cookstoves Project Activity in Honduras Vida Mejor con Ecofogones de Alto Rendimiento CPA No 002;Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;98.290;2017
6109;"Improved Cookstoves Project Activity in Honduras ""Vida Mejor con Ecofogones de Alto Rendimiento"" – CPA No 003";Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;99.748;2017
6111;"Improved Cookstoves Project Activity in Honduras ""Vida Mejor con Ecofogones de Alto Rendimiento"" – CPA No 004";Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;98.925;2017
6112;"Improved Cookstoves Project Activity in Honduras ""Vida Mejor con Ecofogones de Alto Rendimiento"" – CPA No 005";Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;93.307;2017
6113;"Improved Cookstoves Project Activity in Honduras ""Vida Mejor con Ecofogones de Alto Rendimiento"" – CPA No 006";Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;93.307;2017
6114;"Improved Cookstoves Project Activity in Honduras ""Vida Mejor con Ecofogones de Alto Rendimiento"" – CPA No 007";Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;67.761;2017
6115;"Improved Cookstoves Project Activity in Honduras ""Vida Mejor con Ecofogones de Alto Rendimiento"" – CPA No 008";Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;64.668;2017
6116;"Improved Cookstoves Project Activity in Honduras ""Vida Mejor con Ecofogones de Alto Rendimiento"" – CPA No 009";Household & Community;Cookstoves;Latin America and the Caribbean;Honduras;;58.416;2017
612;InfraVest Guanyin Wind Farm Project - Taiwan;Renewable Energy;Wind;Eastern Asia;Taiwan;;874.697;2010
6129;GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 007;Household & Community;Cookstoves;South-Eastern Asia;Myanmar;;28.538;2017
613;Integrated Biomass Energy Conservation Project - Malawi;Household & Community;Bundled Energy Efficiency;Sub-Saharan Africa;Malawi;;256.522;2009
6139;Solar Water Heater Program in India CPA-5;Renewable Energy;Solar Water Heaters;Southern Asia;India;;74.560;2021
614;Biogas Tanks in Guizhou Province in China;Household & Community;Biodigesters;Eastern Asia;China;;12.156;2008
615;Hassan Composite Vermicompost Biogas Project;Household & Community;Biodigesters;Southern Asia;India;;24.864;2008
6152;GS1340 Efficient cookstoves in Burkina Faso – VPA-11 - tiipaalga F3PA cookstoves in Kourwéogo;Household & Community;Cookstoves;Sub-Saharan Africa;Burkina Faso;;35.846;2018
6155;Efficient And Clean Cooking For Mozambican Low Income Housholds - George Dimitrov VPA1;Household & Community;Cookstoves;Sub-Saharan Africa;Mozambique;;97.745;2017
616;*Huadian Ningxia Ningdong Yangjiayao 45MW Wind-farm Project preCDM VERs;Renewable Energy;Wind;Eastern Asia;China;;22.823;2007
617;Ziyaret Wind Power Project Turkey;Renewable Energy;Wind;Western Asia;Türkiye;;1.549.197;2010
6189;GS5047 VPA21 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project I;Household & Community;Community Boreholes;Sub-Saharan Africa;Rwanda;;35.063;2019
621;Mosa POME Methane Capture Project;Waste Management;Methane Recovery in Wastewater;Oceania;Papua New Guinea;;55.390;2012
6212;Promoting Clean Cooking Solutions for the Disadvantaged Households;Household & Community;Cookstoves;Southern Asia;Nepal;;172.032;2017
622;Kumbango POME Methane Capture Project;Waste Management;Methane Recovery in Wastewater;Oceania;Papua New Guinea;;45.162;2012
6235;GS1247 VPA 134 Zoba Maekel Community Boreholes;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;26.846;2017
6236;GS1247 VPA 135 Zoba Maekel Community Boreholes;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;26.526;2017
6237;GS1247 VPA 136 Zoba Maekel Community Boreholes;Household & Community;Community Boreholes;Sub-Saharan Africa;Eritrea;;24.516;2017
6256;Jabalpur biogas project;Household & Community;Biodigesters;Southern Asia;India;;223.551;2019
6264;Improved Cook Stoves programme for Rwanda CPA 0008;Household & Community;Cookstoves;Sub-Saharan Africa;Rwanda;;82.278;2018
6271;Improved Cook Stoves programme for Rwanda CPA 0009;Household & Community;Cookstoves;Sub-Saharan Africa;Rwanda;;183.467;2019
6272;Improved Cook Stoves programme for Rwanda CPA 0010;Household & Community;Cookstoves;Sub-Saharan Africa;Rwanda;;378;2022
6275;Domestic Biogas Project for rural households in India;Household & Community;Biodigesters;Southern Asia;India;;221.810;2017
6279;19.2 MWp Solar Power Project by HZL at Debari and Dariba Rajasthan;Renewable Energy;Solar - Centralized;Southern Asia;India;;58.096;2019
628;*PRE_CDM VER Tonk Biomass Project India;Renewable Energy;Biomass;Southern Asia;India;;40.146;2007
6289;Renoe Acipayam Solar Power Plant;Renewable Energy;Solar - Centralized;Western Asia;Türkiye;;50.480;2018
6290;200 MW Wind Power Project in Tamil Nadu by Orange Sironj;Renewable Energy;Wind;Southern Asia;India;;1.523.227;2019
6301;Household Biogas plants installed in rural areas of Uttar Pradesh & Maharashtra;Household & Community;Biodigesters;Southern Asia;India;;296.112;2017
633;16.7 MW HAMZALI Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;453.068;2008
6338;GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 008;Household & Community;Cookstoves;South-Eastern Asia;Myanmar;;26.008;2017
634;AY-YILDIZ 15 MW WPP;Renewable Energy;Wind;Western Asia;Türkiye;;167.191;2009
6344;GS1247 VPA 138 BioLite Improved Stove Programme Uganda;Household & Community;Cookstoves;Sub-Saharan Africa;Uganda;;29.110;2017
6349;GS1247 VPA 139 Lango Safe Water Project;Household & Community;Community Boreholes;Sub-Saharan Africa;Uganda;;21.300;2018
635;Selimoglu 9.3 MW HPP;Renewable Energy;Hydropower;Western Asia;Türkiye;;39.355;2010
6350;GS1247 VPA 140 Lango Safe Water Project;Household & Community;Community Boreholes;Sub-Saharan Africa;Uganda;;20.391;2018
6351;GS1247 VPA 141 Lango Safe Water Project;Household & Community;Community Boreholes;Sub-Saharan Africa;Uganda;;18.818;2018
6356;Solar Water Heater Program in India-CPA-6;Renewable Energy;Solar Water Heaters;Southern Asia;India;;100.825;2019
636;GUNAYSE  HPP;Renewable Energy;Hydropower;Western Asia;Türkiye;;48.379;2009
637;KALE HPP;Renewable Energy;Hydropower;Western Asia;Türkiye;;28.785;2010
638;KronoClimate;Renewable Energy;Biomass;Eastern Europe;Russia;;477.710;2006
6393;Nepal Biogas Support Program - CPA 6: 18504 digesters;Household & Community;Biodigesters;Southern Asia;Nepal;;285.079;2016
6394;Nepal Biogas Support Program - CPA 7: 18392 digesters;Household & Community;Biodigesters;Southern Asia;Nepal;;298.106;2016
6395;Adilabad biogas project;Household & Community;Biodigesters;Southern Asia;India;;140.333;2019
6411;Household biogas project in Uttarakhand and Kerala India;Household & Community;Biodigesters;Southern Asia;India;;182.087;2017
6414;Hamal Solar Power Project;Renewable Energy;Solar - Centralized;Western Asia;Türkiye;;36.861;2018
6419;GS1340 Efficient cookstoves in Burkina Faso – VPA-12 - tiipaalga F3PA cookstoves in Kourwéogo;Household & Community;Cookstoves;Sub-Saharan Africa;Burkina Faso;;27.451;2019
642;Bulam 7MW HEPP;Renewable Energy;Hydropower;Western Asia;Türkiye;;76.466;2010
6420;GS1340 Efficient cookstoves in Burkina Faso – VPA-13 - tiipaalga F3PA cookstoves in Kourwéogo;Household & Community;Cookstoves;Sub-Saharan Africa;Burkina Faso;;15.443;2020
6443;"GS5658 VPA 3: Borehole project ""Antonio Giaffreda"" Senegal";Household & Community;Community Boreholes;Sub-Saharan Africa;Senegal;;17.846;2018
6444;VPA - Spouts - 2;Household & Community;Clean Water;Sub-Saharan Africa;Uganda;;27.142;2017
6445;VPA - Spouts - 3;Household & Community;Clean Water;Sub-Saharan Africa;Uganda;;26.622;2017
6460;Energy for Mam Rashan;Renewable Energy;Solar - Distributed;Western Asia;Iraq;;1.830;2018
6498;Wind Energy Project in Gujarat (GS4426 CER to VER conversion);Renewable Energy;Wind;Southern Asia;India;;143.994;2014
6513;VPA - Spring Health - 1;Household & Community;Clean Water;Southern Asia;India;;28.244;2017
6518;GS1247 VPA 142 Manicaland Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Zimbabwe;;28.034;2018
6519;GS1247 VPA 143 Manicaland Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Zimbabwe;;28.199;2018
